#{"t_start": 1626768021.9418232, "env_id": "jtr-modelless-v1"}
r,l,t
460.370161,75,121.233932
347.468517,54,122.79021
51.836203,29,123.000841
479.079859,63,124.613101
405.362974,56,126.182648
476.164271,75,127.881256
531.599465,75,130.739234
898.333333,61,131.178974
14.314918,26,132.526123
537.860668,70,134.191077
530.680467,75,135.89432
335.878506,53,137.434312
54.490263,30,137.653972
449.634087,66,139.290006
128.011149,34,140.694135
244.378037,42,142.153516
460.853024,75,143.86535
429.348305,66,145.503176
418.629149,61,147.103303
-44.7369,27,147.298641
526.53377,75,149.00091
895.0,63,150.62026
195.202448,39,152.063335
9.688294,26,152.252111
221.9659,41,153.708665
282.897762,48,155.219454
425.426767,56,156.784439
499.675746,74,158.48056
36.236891,28,158.685778
195.724421,37,160.116494
347.729157,48,161.625554
-166.636946,16,161.74155
-139.854612,16,161.861307
-179.364001,15,161.970627
408.863557,62,163.587598
415.316104,59,165.176696
396.534118,68,166.830772
514.516053,75,168.541102
516.063187,75,171.405107
500.381157,75,173.11179
137.11658,31,173.337519
489.509661,75,175.041666
442.327667,75,177.905702
-311.622098,28,178.108024
56.2962,27,178.306404
228.370523,38,179.745139
424.314466,57,181.336919
141.139834,35,182.758742
449.090155,75,184.750661
517.968919,75,186.458
132.569852,33,186.696675
898.333333,61,188.295584
901.666667,59,189.883361
102.605609,31,191.264079
415.551841,75,192.965537
397.94869,62,194.573494
455.415911,63,196.194218
505.284082,75,197.898438
299.010931,46,199.393096
11.789506,25,199.579288
-40.632785,23,199.7488
517.778552,75,202.618906
353.832654,50,202.979684
394.753751,52,204.522902
395.270964,52,206.061684
59.118164,27,206.257527
493.950712,75,209.122014
523.695303,75,210.823925
487.725926,75,212.532053
90.571704,30,212.749731
195.494365,41,214.211488
345.530784,52,215.750852
505.696159,70,217.427379
455.718413,75,219.135857
369.381097,50,220.660499
25.125257,26,220.851784
140.494761,32,222.297992
886.666667,68,223.954198
310.052778,50,225.479308
475.596178,75,227.186993
355.837707,51,228.731815
-56.864298,21,228.884392
28.611847,27,229.08102
0.248676,27,230.444015
183.44494,39,230.729027
532.882554,75,233.624873
365.63853,52,234.010858
450.580602,75,236.926831
533.496715,75,238.639115
290.327851,44,238.95682
51.42618,29,240.336664
426.745523,75,242.045336
434.254688,75,243.780587
507.719858,75,245.512195
459.513336,68,248.34116
476.887616,75,250.052863
82.414,30,250.27164
405.311156,68,251.928391
473.7076,75,253.635154
898.333333,61,255.24201
417.885023,62,256.861417
320.562388,45,258.353194
525.668523,75,260.070937
903.333333,58,261.734126
888.333333,67,264.045236
903.333333,58,266.014586
481.515309,72,268.406319
453.931031,75,270.829895
532.750981,75,275.122752
113.033013,39,275.526406
492.875128,75,277.909246
900.0,60,280.093903
232.522226,42,281.844843
438.026406,75,283.784413
481.409581,75,285.726614
492.143134,75,287.681394
512.598215,75,290.975951
900.0,60,292.797221
903.333333,58,293.25768
481.638053,75,296.536897
908.333333,55,296.97118
494.848829,75,300.248174
896.666667,62,302.098423
903.333333,58,303.970972
131.500473,34,304.24412
158.733119,36,305.870203
251.087755,41,306.197704
477.787182,75,308.132101
900.0,60,309.943546
501.464023,75,313.217931
898.333333,61,313.70394
409.942166,75,317.147647
-45.037976,23,317.348953
-110.729062,19,317.50266
505.095978,75,319.465302
484.669173,75,322.858632
142.539591,36,323.148098
149.889214,36,324.789448
895.0,63,326.635137
471.279239,75,328.978726
528.609578,75,331.640972
267.133514,49,333.417959
85.893499,32,333.674747
49.459889,31,335.283387
461.480259,75,340.039633
391.883629,50,341.80581
452.33941,75,343.750426
478.806233,75,345.725064
384.629543,50,347.509076
431.151855,70,349.450297
430.895548,68,351.342012
344.586914,49,353.158256
517.256502,75,355.175606
396.449317,55,357.020724
485.124381,75,359.018221
448.869448,75,360.974373
369.228955,54,362.851259
416.709922,75,364.910172
903.333333,58,366.508477
492.092337,74,368.216126
530.551631,75,369.93007
520.79411,75,372.833623
457.356813,65,374.47612
900.0,60,376.078826
502.941411,75,377.795568
337.402687,44,378.114342
-312.037929,40,379.600699
482.745219,75,381.423241
489.343762,75,383.256397
119.934699,33,384.659216
900.0,60,386.249185
395.720072,58,387.826338
453.903882,75,389.53359
901.666667,59,391.148654
456.467721,75,392.850502
295.985637,47,394.354786
-304.298637,13,394.451421
28.013547,27,394.652304
898.333333,61,396.252458
895.0,63,397.865747
509.637107,75,400.736574
900.0,60,401.168549
429.360013,60,402.762649
336.003248,50,404.284199
478.815328,75,405.98962
531.415401,75,408.857268
496.715636,75,410.553812
542.5979,75,412.260197
221.284993,41,413.717067
425.277336,61,414.156286
160.842874,37,415.581721
34.08305,29,415.806195
438.803468,67,418.615002
237.043404,41,418.909478
425.852898,75,420.612748
461.104206,75,423.476993
525.577127,75,425.183211
407.573254,75,426.882265
462.530772,75,428.584665
449.605277,69,430.243434
896.666667,62,431.866097
467.954776,75,433.569539
535.423579,75,435.274652
901.666667,59,436.8564
503.293151,75,439.72093
476.681095,75,441.420703
414.338674,64,443.03957
436.676896,75,444.740941
508.25561,75,446.440174
276.162371,47,447.939525
295.119903,47,449.434657
305.052879,48,449.778948
528.607316,75,451.482168
80.91731,32,452.872199
486.175621,75,454.573583
491.461541,75,456.275643
439.305203,75,457.976464
484.850961,75,460.840522
276.17611,43,461.150271
46.331555,30,462.525817
535.554448,75,464.239582
492.062196,75,465.941821
240.420881,44,467.420038
898.333333,61,469.021804
426.06394,74,470.716114
444.726315,75,472.41611
461.140049,75,474.11587
400.985841,57,475.685913
362.8914,65,477.320304
487.799091,75,479.026756
503.716029,75,480.726101
480.904763,75,483.587225
506.217108,75,485.295409
901.666667,59,486.891697
437.373306,75,488.588459
335.04746,48,490.093486
429.439751,57,491.669458
495.678246,75,493.373711
486.785806,62,494.992233
539.519262,75,496.696952
409.325314,63,498.314003
503.103115,75,500.014509
901.666667,59,501.600248
453.715677,75,503.305433
459.97319,69,504.972191
900.0,60,506.566072
276.425195,44,508.044655
900.0,60,509.636382
371.642788,56,511.202937
519.133017,75,512.91872
445.583182,73,514.613559
422.784195,75,516.323931
495.314487,75,518.035721
419.740051,71,519.715655
901.666667,59,521.318928
893.333333,64,522.945079
418.436291,73,524.642389
497.388844,75,527.517917
464.618794,70,529.196664
460.03647,75,530.906789
526.448061,75,532.620445
896.666667,62,534.238744
539.223931,75,535.943122
893.333333,64,537.569293
408.640077,62,539.184174
466.473701,73,540.877426
488.342432,75,543.754316
330.927714,51,544.12307
413.82842,60,545.727365
513.327007,75,547.464051
508.479408,75,550.351892
900.0,60,551.968641
901.666667,59,552.407488
513.855831,75,555.299762
898.333333,61,556.910946
517.047542,75,558.620734
506.731283,75,560.332486
448.8932,75,562.042768
534.575846,75,563.754691
283.31146,43,565.233392
901.666667,59,566.823509
485.214639,75,568.529989
447.649968,72,570.231701
464.180395,75,571.946411
426.104647,75,573.661648
427.988585,72,576.525812
466.133705,75,578.242526
459.667778,70,579.918065
895.0,63,581.542486
452.357541,72,583.230391
114.333648,36,584.656656
525.933603,75,586.36607
896.666667,62,587.983309
464.06348,75,589.699079
449.6025,62,591.316914
320.218744,45,592.806584
896.666667,62,594.424895
896.666667,62,594.874819
506.263828,75,597.753346
419.815567,54,600.514665
435.080792,62,602.12762
317.822554,46,603.627439
270.514367,52,605.170225
900.0,60,606.776245
896.666667,62,608.393475
900.0,60,609.995928
498.027047,75,611.70707
456.4492,75,613.413016
509.152789,75,615.12508
489.190769,75,618.00128
521.687882,75,619.714717
167.425549,36,619.975012
106.919697,35,621.399367
519.79093,75,623.108261
475.932506,70,624.79004
429.078814,58,626.374416
59.971992,36,627.805041
521.765812,75,629.515448
901.666667,59,631.108769
472.021707,75,632.816937
525.384028,75,634.52984
475.981134,75,636.242438
533.092084,75,637.950294
361.329707,53,639.503357
486.069293,75,641.215874
530.834345,75,642.931623
443.524995,75,645.811349
483.350185,75,647.522584
443.715325,75,649.237134
500.505921,75,650.948579
529.599883,75,652.663776
186.691848,42,654.133878
502.341741,75,655.848535
411.751342,74,657.552801
407.746669,58,659.140866
896.666667,62,660.757841
443.179413,63,662.382721
522.343227,75,664.103645
447.200203,63,665.731799
453.239647,75,668.608317
512.324255,75,670.326029
412.404779,58,671.91335
407.279637,75,673.627475
905.0,57,675.210304
901.666667,59,676.845278
532.493184,75,678.546556
521.129093,75,680.250385
494.079889,75,681.952686
898.333333,61,683.569403
512.233747,75,685.36742
898.333333,61,687.0514
497.177229,75,688.813149
429.491469,64,690.495736
910.0,54,692.096944
891.666667,65,693.780669
527.205016,75,695.506317
522.767749,75,698.376159
430.498995,60,698.806817
896.666667,62,700.417336
531.898893,75,703.284284
903.333333,58,704.865972
901.666667,59,705.290006
514.16092,75,708.152479
337.892659,48,708.497358
500.085321,75,711.394002
309.783931,49,711.756873
461.59024,66,713.405471
519.811725,75,716.288558
458.457611,75,718.003476
527.008378,75,719.715282
495.914671,75,721.431139
465.5538,75,723.144472
898.333333,61,724.760394
482.636832,75,726.47258
468.525534,75,729.355065
526.91718,75,731.070435
898.333333,61,732.686609
898.333333,61,734.293995
401.295786,60,735.890741
486.581333,75,737.60026
483.505806,75,739.305473
-313.064843,33,739.54265
900.0,60,741.140789
439.189104,71,742.818964
903.333333,58,744.408015
503.675938,75,747.297959
522.82809,75,749.011199
517.84628,75,750.72889
512.943451,75,752.451928
895.0,63,754.087207
900.0,60,755.69199
903.333333,58,757.281641
482.029358,75,758.998673
898.333333,61,760.612847
523.677975,75,762.327568
517.463605,75,764.042399
491.962282,75,765.767515
381.446239,56,767.349391
450.657181,70,769.032716
