#{"t_start": 1626279733.2108138, "env_id": "jtr-v1"}
r,l,t
250.731708,22,25174.29269
242.008191,20,25196.050047
259.831733,22,25223.082241
306.488546,24,25249.754419
284.350531,23,25274.885455
231.316158,20,25296.400254
284.286909,23,25324.773363
257.530864,22,25348.741001
352.257403,23,25373.75965
613.763906,45,25425.515531
304.867073,23,25450.869735
310.04064,24,25476.807228
258.102118,22,25500.8085
271.882656,22,25527.958575
252.48047,22,25552.20744
545.570878,40,25595.583202
654.286895,48,25651.299598
279.055603,22,25675.347955
244.164995,20,25697.59316
419.169297,33,25737.006594
270.817806,22,25761.010906
248.470295,22,25784.843424
226.319018,19,25805.73057
260.099404,21,25831.513383
240.551865,20,25853.721546
254.697964,22,25877.714826
280.07814,22,25901.215736
262.863752,22,25925.35321
427.284777,33,25964.535036
222.489473,20,25986.315577
226.321881,19,26006.768024
261.581348,21,26029.694817
288.838,23,26058.313432
300.087779,24,26084.318755
290.074792,23,26109.215635
257.523672,20,26130.604534
253.526122,20,26155.870512
275.250925,23,26180.815473
253.128385,21,26203.579803
237.041742,20,26225.248229
274.650271,22,26252.415506
294.050249,23,26277.534364
327.644183,27,26307.028687
228.473004,19,26327.414643
263.196751,21,26353.652699
265.59854,22,26377.616822
296.15702,24,26403.824608
250.133537,21,26426.51475
313.511513,26,26458.376778
277.414639,23,26483.458933
253.033765,21,26506.517765
246.81263,22,26530.313157
755.23182,58,26597.510572
240.032006,20,26619.089212
311.918579,24,26648.385068
260.244642,22,26672.503997
263.464909,21,26695.354225
345.912881,27,26724.603863
248.531107,22,26751.788867
236.182687,22,26776.160351
239.341517,20,26798.190119
249.208444,20,26819.900588
276.799234,22,26843.548485
244.151721,19,26867.938093
339.993918,25,26895.29668
238.309934,20,26916.949634
240.128167,20,26938.970519
258.023354,22,26966.182247
232.735428,20,26988.026501
286.976236,22,27012.072768
236.422751,20,27033.611998
239.994107,20,27058.842898
238.296605,20,27080.56755
273.276448,23,27105.384631
315.635378,26,27133.557055
476.382428,37,27177.104321
306.437954,24,27203.251433
234.679783,20,27224.681182
262.31146,21,27247.823792
272.971455,21,27274.143723
251.481138,22,27297.844372
234.45459,20,27319.458324
316.394715,28,27349.59786
254.688478,24,27379.332657
323.069968,27,27408.813793
257.953338,21,27431.352124
265.076552,22,27458.58199
287.465637,24,27493.966366
243.307513,20,27528.497832
249.61251,20,27558.278908
281.057052,24,27600.207036
232.792342,20,27633.836129
266.177853,22,27666.045542
285.536515,25,27709.813681
332.543471,26,27753.515161
284.648761,24,27791.830636
254.120524,20,27821.517293
231.956398,20,27855.511724
310.991769,24,27898.737855
266.872995,22,27924.073632
258.495317,21,27946.793686
299.388429,24,27972.95702
234.324538,20,27994.6891
248.073924,21,28021.274203
268.034805,22,28045.2209
294.894146,24,28071.312629
234.170742,20,28093.317397
255.179669,21,28119.454014
230.193482,19,28140.395029
230.704491,20,28161.852336
255.331895,22,28185.744295
324.556967,25,28216.748087
235.987049,20,28238.461381
274.166082,22,28262.426574
282.090323,24,28288.444632
215.756821,18,28311.4217
255.802102,21,28334.448263
272.413869,21,28357.238268
258.033755,21,28379.741904
258.089323,20,28401.484768
343.232775,27,28434.434433
259.146856,21,28457.399874
338.864668,28,28487.581576
273.922428,22,28515.241684
249.783444,20,28537.406324
246.838885,21,28560.208631
292.066742,24,28586.308762
276.573626,22,28613.852304
249.482377,22,28637.944878
226.519648,20,28659.53049
259.182289,21,28682.394866
230.126431,20,28703.910301
230.434487,20,28729.234634
306.792154,24,28755.375856
263.856651,21,28778.041819
238.871473,20,28799.678209
292.397513,24,28829.193494
292.750969,23,28854.355261
270.551147,22,28878.032074
261.029606,22,28901.609082
255.360542,20,28926.919885
242.049085,21,28949.935957
242.416416,21,28972.840985
624.683513,46,29027.718028
251.370168,22,29051.836218
461.284171,33,29087.768177
387.23581,31,29124.791413
286.453399,23,29149.976361
252.454026,22,29174.101057
358.336847,27,29203.412912
411.097599,32,29241.565861
270.515008,22,29265.458508
275.433623,23,29290.649444
234.015827,20,29312.460456
248.306742,22,29339.734797
262.191384,23,29364.690368
228.391679,20,29386.791182
323.733739,26,29414.950995
263.363631,22,29442.417473
298.377962,24,29468.562136
325.167942,26,29496.645775
253.830222,21,29519.392952
362.04805,29,29554.351696
246.151862,20,29576.321536
260.228065,22,29600.161043
261.532056,22,29626.835526
303.666742,24,29653.311563
341.747252,27,29682.901689
220.172194,19,29703.476267
301.321065,25,29733.962943
702.395087,53,29791.815532
248.418224,20,29813.501821
231.065997,19,29837.568168
277.389961,22,29861.399432
255.4802,21,29884.352538
267.29938,22,29908.244982
265.950225,22,29935.513889
231.461665,20,29957.204427
313.199653,24,29983.240422
306.521582,25,30010.367675
247.865641,20,30035.562899
388.435741,29,30067.313498
544.260419,41,30111.855047
247.246445,19,30136.043926
229.410265,20,30157.777296
280.238002,23,30182.624611
307.149983,23,30207.67325
321.179002,26,30239.213588
261.473187,21,30262.353807
278.314925,22,30286.505759
249.886541,21,30309.239887
275.468324,21,30335.612672
446.85649,34,30373.042287
270.838438,22,30396.980963
262.705726,21,30419.793711
237.25568,20,30444.734846
298.90753,24,30471.11313
266.504224,22,30495.258421
337.51076,26,30523.158767
261.665902,22,30550.713791
524.005081,39,30593.426636
261.943006,22,30617.278385
306.357139,24,30646.759034
225.422538,19,30668.130717
268.329508,22,30692.53959
226.850994,20,30714.198747
291.508464,23,30739.062398
276.897615,23,30768.09147
283.74764,23,30793.1705
240.692849,19,30813.71749
303.846726,24,30839.820704
242.625654,20,30865.212633
251.989242,22,30889.361932
264.960465,22,30913.38845
241.408043,21,30936.276492
338.570104,30,30972.340147
256.713802,21,30995.226154
256.037842,22,31019.282573
283.786633,23,31043.805511
316.721256,25,31079.090809
256.306245,21,31110.44766
364.569215,30,31159.876237
282.315076,24,31202.013227
319.92481,26,31243.863949
217.166383,18,31277.006702
225.449759,19,31307.047445
259.560805,21,31346.006201
252.187333,20,31377.204601
243.366229,21,31412.695319
261.611935,21,31444.114483
362.165805,28,31495.461428
346.963611,26,31532.794577
263.175199,21,31556.434129
252.74119,22,31581.048738
250.128382,22,31609.570744
249.60023,20,31632.480681
248.869707,21,31655.93569
239.310477,20,31678.692832
266.280295,22,31703.049577
254.065888,21,31729.703805
347.758165,26,31758.911552
215.882471,18,31779.060164
262.777271,22,31804.011982
260.236594,22,31832.166221
267.346874,22,31856.991894
244.043889,20,31879.703779
256.619989,21,31903.381007
254.081461,23,31932.690851
272.749009,21,31956.458319
334.722776,25,31984.594158
298.025166,23,32010.432642
270.355855,21,32037.453771
350.521763,25,32065.679675
360.612592,28,32097.393097
257.561716,22,32122.102945
229.245326,20,32148.38511
298.524902,24,32175.941458
289.228538,24,32202.863745
250.877007,21,32226.525435
259.00988,21,32253.544039
265.41645,22,32278.522115
472.56534,37,32320.119567
627.254527,48,32377.828503
253.41895,20,32400.052393
293.373056,24,32426.520405
300.59173,24,32456.273857
801.169693,61,32523.646438
248.34962,20,32548.797317
259.946869,21,32572.139977
341.490731,29,32603.808352
348.578363,29,32635.453211
260.654593,22,32663.083899
276.676809,23,32688.51787
225.017774,19,32709.335193
237.155691,20,32731.156155
252.42166,22,32758.746131
251.963275,20,32780.814517
259.574879,22,32805.622516
220.863837,18,32826.010457
268.302104,22,32850.555033
284.52646,23,32879.478131
246.308587,19,32900.608449
266.023689,24,32927.355033
263.485845,22,32951.417651
336.196129,26,32984.213071
255.329533,22,33009.177837
247.965978,22,33034.263536
307.406114,26,33066.671676
248.493479,19,33087.752612
